QuestionId_Answer,QuestionId,ConstructId,ConstructName,SubjectId,SubjectName,QuestionText,Answer,AnswerText,Correct,CorrectAnswer,CorrectAnswerText,FirstSubjectId,FirstSubjectName,SecondSubjectId,SecondSubjectName,ThirdSubjectId,ThirdSubjectName,MisconceptionId
5_A,5,2052,Identify a unit of area,75,Area of Simple Shapes,"James has answered a question on the area of a trapezium and got an answer of \( 54 \).

Behind the star he has written the units that he used.

\(
54 \, \bigstar 
\)

Which of the following units could be correct?",A,\( m \),0,D,\( \mathrm{mm}^{2} \),71,Geometry and Measure,178,Perimeter and Area,75,Area of Simple Shapes,686.0
5_B,5,2052,Identify a unit of area,75,Area of Simple Shapes,"James has answered a question on the area of a trapezium and got an answer of \( 54 \).

Behind the star he has written the units that he used.

\(
54 \, \bigstar 
\)

Which of the following units could be correct?",B,\( \mathrm{cm} \),0,D,\( \mathrm{mm}^{2} \),71,Geometry and Measure,178,Perimeter and Area,75,Area of Simple Shapes,686.0
5_C,5,2052,Identify a unit of area,75,Area of Simple Shapes,"James has answered a question on the area of a trapezium and got an answer of \( 54 \).

Behind the star he has written the units that he used.

\(
54 \, \bigstar 
\)

Which of the following units could be correct?",C,\( \mathrm{km}^{3} \),0,D,\( \mathrm{mm}^{2} \),71,Geometry and Measure,178,Perimeter and Area,75,Area of Simple Shapes,686.0
6_A,6,376,Convert two digit integer percentages to fractions,238,Converting between Fractions and Percentages,"Convert this percentage to a fraction
\( 62 \% \)",A,\( \frac{62}{10} \),0,B,\( \frac{31}{50} \),32,Number,38,"Fractions, Decimals and Percentage Equivalence",238,Converting between Fractions and Percentages,329.0
6_C,6,376,Convert two digit integer percentages to fractions,238,Converting between Fractions and Percentages,"Convert this percentage to a fraction
\( 62 \% \)",C,\( \frac{6}{2} \),0,B,\( \frac{31}{50} \),32,Number,38,"Fractions, Decimals and Percentage Equivalence",238,Converting between Fractions and Percentages,847.0
6_D,6,376,Convert two digit integer percentages to fractions,238,Converting between Fractions and Percentages,"Convert this percentage to a fraction
\( 62 \% \)",D,None of these,0,B,\( \frac{31}{50} \),32,Number,38,"Fractions, Decimals and Percentage Equivalence",238,Converting between Fractions and Percentages,329.0
7_B,7,314,Divide decimals by 10,224,Multiplying and Dividing with Decimals,\( 43.2 \div 10= \),B,\( 0.432 \),0,A,\( 4.32 \),32,Number,36,Decimals,224,Multiplying and Dividing with Decimals,2123.0
7_C,7,314,Divide decimals by 10,224,Multiplying and Dividing with Decimals,\( 43.2 \div 10= \),C,\( 33.2 \),0,A,\( 4.32 \),32,Number,36,Decimals,224,Multiplying and Dividing with Decimals,2273.0
7_D,7,314,Divide decimals by 10,224,Multiplying and Dividing with Decimals,\( 43.2 \div 10= \),D,\( 43.02 \),0,A,\( 4.32 \),32,Number,36,Decimals,224,Multiplying and Dividing with Decimals,2133.0
8_B,8,435,Subtract proper fractions with different denominators which do not share a common factor,230,Adding and Subtracting Fractions,"\(
\frac{4}{5}-\frac{1}{3}=\frac{\bigstar}{15}
\)
What should replace the star?",B,\( 5 \),0,A,\( 7 \),32,Number,39,Fractions,230,Adding and Subtracting Fractions,907.0
8_C,8,435,Subtract proper fractions with different denominators which do not share a common factor,230,Adding and Subtracting Fractions,"\(
\frac{4}{5}-\frac{1}{3}=\frac{\bigstar}{15}
\)
What should replace the star?",C,\( 17 \),0,A,\( 7 \),32,Number,39,Fractions,230,Adding and Subtracting Fractions,1514.0
8_D,8,435,Subtract proper fractions with different denominators which do not share a common factor,230,Adding and Subtracting Fractions,"\(
\frac{4}{5}-\frac{1}{3}=\frac{\bigstar}{15}
\)
What should replace the star?",D,\( 3 \),0,A,\( 7 \),32,Number,39,Fractions,230,Adding and Subtracting Fractions,907.0
9_A,9,1321,Identify horizontal translations in the form f(x) = for non-trigonometric functions,164,Transformations of functions in the form f(x),"What transformation maps the graph of
\(y=f(x)
\)
to the graph of
\(
y=f(x-3)
\)",A,"Translation by vector
\(
\left[\begin{array}{l}
0 \\
3
\end{array}\right]
\)",0,C,"Translation by vector
\(
\left[\begin{array}{l}
3 \\
0
\end{array}\right]
\)",49,Algebra,68,Transformation of Functions,164,Transformations of functions in the form f(x),1889.0
9_B,9,1321,Identify horizontal translations in the form f(x) = for non-trigonometric functions,164,Transformations of functions in the form f(x),"What transformation maps the graph of
\(y=f(x)
\)
to the graph of
\(
y=f(x-3)
\)",B,"Translation by vector
\(
\left[\begin{array}{c}
0 \\
-3
\end{array}\right]
\)",0,C,"Translation by vector
\(
\left[\begin{array}{l}
3 \\
0
\end{array}\right]
\)",49,Algebra,68,Transformation of Functions,164,Transformations of functions in the form f(x),1234.0
9_D,9,1321,Identify horizontal translations in the form f(x) = for non-trigonometric functions,164,Transformations of functions in the form f(x),"What transformation maps the graph of
\(y=f(x)
\)
to the graph of
\(
y=f(x-3)
\)",D,"Translation by vector
\(
\left[\begin{array}{r}
-3 \\
0
\end{array}\right]
\)",0,C,"Translation by vector
\(
\left[\begin{array}{l}
3 \\
0
\end{array}\right]
\)",49,Algebra,68,Transformation of Functions,164,Transformations of functions in the form f(x),1312.0
10_C,10,1414,Expand products of three binomials in the form (x + a)(x + b)(x + c),335,Expanding Triple Brackets and more,"John is expanding these three brackets:
\(
(x+5)(x-3)(x+6)
\)

He finds it helpful to split the first bracket and view the problem as follows:
\(
x(x-3)(x+6)+5(x-3)(x+6)
\)

He expands the brackets further. Before he simplifies, what are the terms than contain an \( \boldsymbol{x}^{2} \) ?",C,\( \begin{array}{l}+6 x^{2} \\ +3 x^{2} \\ +5 x^{2}\end{array} \),0,B,\( \begin{array}{l}+6 x^{2} \\ -3 x^{2} \\ +5 x^{2}\end{array} \),49,Algebra,152,Expanding Brackets,335,Expanding Triple Brackets and more,583.0
11_A,11,2456,Identify the net of a non-prism,85,Nets,This is the net of a... ![A circle touching a sector](),A,Triangle,0,D,Cone,71,Geometry and Measure,176,3D Shapes,85,Nets,690.0
11_B,11,2456,Identify the net of a non-prism,85,Nets,This is the net of a... ![A circle touching a sector](),B,Triangular prism,0,D,Cone,71,Geometry and Measure,176,3D Shapes,85,Nets,690.0
11_C,11,2456,Identify the net of a non-prism,85,Nets,This is the net of a... ![A circle touching a sector](),C,Triangularbased pyramid,0,D,Cone,71,Geometry and Measure,176,3D Shapes,85,Nets,690.0
12_B,12,1756,Identify alternate angles,182,Angle Facts with Parallel Lines,"Tom and Katie are arguing about alternate angles.
Tom says angles \( p \) and \( q \) are alternate.

Katie says angles \( p \) and \( q \) are equal.
Who is correct? ![Shows two non parallel lines that are intersected by another line. Angles P and Q are both on the outside of the lines and on opposite sides of the transversal.]()",B,"Only
Katie",0,A,"Only
Tom",71,Geometry and Measure,74,Angles,182,Angle Facts with Parallel Lines,2156.0
12_C,12,1756,Identify alternate angles,182,Angle Facts with Parallel Lines,"Tom and Katie are arguing about alternate angles.
Tom says angles \( p \) and \( q \) are alternate.

Katie says angles \( p \) and \( q \) are equal.
Who is correct? ![Shows two non parallel lines that are intersected by another line. Angles P and Q are both on the outside of the lines and on opposite sides of the transversal.]()",C,Both Tom and Katie,0,A,"Only
Tom",71,Geometry and Measure,74,Angles,182,Angle Facts with Parallel Lines,2156.0
12_D,12,1756,Identify alternate angles,182,Angle Facts with Parallel Lines,"Tom and Katie are arguing about alternate angles.
Tom says angles \( p \) and \( q \) are alternate.

Katie says angles \( p \) and \( q \) are equal.
Who is correct? ![Shows two non parallel lines that are intersected by another line. Angles P and Q are both on the outside of the lines and on opposite sides of the transversal.]()",D,Neither is correct,0,A,"Only
Tom",71,Geometry and Measure,74,Angles,182,Angle Facts with Parallel Lines,1588.0
13_C,13,3065,Convert from hours to minutes,209,Time,"Hannah's journey to camp is \( 3 \) hours and \( 16 \) minutes.
Tori's journey to camp is \( 214 \) minutes.
What is the difference in their journeys in minutes?",C,\( 102 \) minutes,0,B,\( 18 \) minutes,71,Geometry and Measure,98,Units of Measurement,209,Time,161.0
14_A,14,1505,Select the correct answer to an iteration question to the required degree of accuracy,69,Trial and Improvement and Iterative Methods,"\(
x_{n+1}=5-\frac{1}{x_{n}}
\)

Using a starting value of \( x_{1}=2 \), what is the solution to \( x=5-\frac{1}{x} \) to \( 2 \) decimal places?",A,\( 4.78 \),0,D,\( 4.79 \),49,Algebra,154,Solving Equations,69,Trial and Improvement and Iterative Methods,1775.0
14_B,14,1505,Select the correct answer to an iteration question to the required degree of accuracy,69,Trial and Improvement and Iterative Methods,"\(
x_{n+1}=5-\frac{1}{x_{n}}
\)

Using a starting value of \( x_{1}=2 \), what is the solution to \( x=5-\frac{1}{x} \) to \( 2 \) decimal places?",B,\( 4.79128 \ldots \),0,D,\( 4.79 \),49,Algebra,154,Solving Equations,69,Trial and Improvement and Iterative Methods,1248.0
14_C,14,1505,Select the correct answer to an iteration question to the required degree of accuracy,69,Trial and Improvement and Iterative Methods,"\(
x_{n+1}=5-\frac{1}{x_{n}}
\)

Using a starting value of \( x_{1}=2 \), what is the solution to \( x=5-\frac{1}{x} \) to \( 2 \) decimal places?",C,\( 4.8 \),0,D,\( 4.79 \),49,Algebra,154,Solving Equations,69,Trial and Improvement and Iterative Methods,1529.0
15_B,15,2578,Calculate the area of an equilateral triangle where the dimensions are given in the same units,75,Area of Simple Shapes,"How would you calculate the area of this triangle? ![A triangle, base 12m. All three sides are equal.]()",B,\( \frac{12 \times 12}{2} \),0,D,None of these,71,Geometry and Measure,178,Perimeter and Area,75,Area of Simple Shapes,590.0
15_C,15,2578,Calculate the area of an equilateral triangle where the dimensions are given in the same units,75,Area of Simple Shapes,"How would you calculate the area of this triangle? ![A triangle, base 12m. All three sides are equal.]()",C,\( \frac{12 \times 12 \times 12}{2} \),0,D,None of these,71,Geometry and Measure,178,Perimeter and Area,75,Area of Simple Shapes,71.0
16_A,16,695,"Divide a quantity into two parts for a given a ratio, where each part is an integer",241,Sharing in a Ratio,"In the diagram, AN : NB \( =3: 5 \) 
What is the distance AN? ![A line that begins with point A, ends with point B, and has point N in between. The entire length of the line measures 48 m.]()",A,\( 16 \mathrm{~m} \),0,D,\( 18 \mathrm{~m} \),32,Number,46,Ratio,241,Sharing in a Ratio,2378.0
16_B,16,695,"Divide a quantity into two parts for a given a ratio, where each part is an integer",241,Sharing in a Ratio,"In the diagram, AN : NB \( =3: 5 \) 
What is the distance AN? ![A line that begins with point A, ends with point B, and has point N in between. The entire length of the line measures 48 m.]()",B,\( 30 \mathrm{~m} \),0,D,\( 18 \mathrm{~m} \),32,Number,46,Ratio,241,Sharing in a Ratio,105.0
16_C,16,695,"Divide a quantity into two parts for a given a ratio, where each part is an integer",241,Sharing in a Ratio,"In the diagram, AN : NB \( =3: 5 \) 
What is the distance AN? ![A line that begins with point A, ends with point B, and has point N in between. The entire length of the line measures 48 m.]()",C,\( 6 \mathrm{~m} \),0,D,\( 18 \mathrm{~m} \),32,Number,46,Ratio,241,Sharing in a Ratio,1659.0
17_A,17,1289,Prove statements involving odd and even numbers,210,Ordering Negative Numbers,Which of these shows part of the proof that the sum of two odd numbers is even?,A,\( \begin{array}{l}2 n+(2 m+1) \\ =2(n+m)+1\end{array} \),0,D,\( \begin{array}{l}(2 n-1)+(2 m+1) \\ =2 n+2 m \\ =2(n+m)\end{array} \),32,Number,42,Negative Numbers,210,Ordering Negative Numbers,616.0
17_B,17,1289,Prove statements involving odd and even numbers,210,Ordering Negative Numbers,Which of these shows part of the proof that the sum of two odd numbers is even?,B,\( \begin{array}{l}(2 n-1)(2 m+1) \\ =4 m n+2 n-2 m-1 \\ =2(2 m n-n-m)+1\end{array} \),0,D,\( \begin{array}{l}(2 n-1)+(2 m+1) \\ =2 n+2 m \\ =2(n+m)\end{array} \),32,Number,42,Negative Numbers,210,Ordering Negative Numbers,2130.0
17_C,17,1289,Prove statements involving odd and even numbers,210,Ordering Negative Numbers,Which of these shows part of the proof that the sum of two odd numbers is even?,C,\( \begin{array}{l}\text { Odd + Odd } \\ =\text { even }\end{array} \),0,D,\( \begin{array}{l}(2 n-1)+(2 m+1) \\ =2 n+2 m \\ =2(n+m)\end{array} \),32,Number,42,Negative Numbers,210,Ordering Negative Numbers,616.0
18_A,18,261,Carry out missing number subtraction problems involving negative integers,211,Adding and Subtracting Negative Numbers,"![Number line with -12 and -7 marked. Starting at -12, follow an arrow pointing to the right labelled +10. Then there is an arrow labelled b pointing to the left, which ends at -7 on the number line.]() What is the value of \( b \) ?",A,\( -7 \),0,B,\( -5 \),32,Number,42,Negative Numbers,211,Adding and Subtracting Negative Numbers,2179.0
18_D,18,261,Carry out missing number subtraction problems involving negative integers,211,Adding and Subtracting Negative Numbers,"![Number line with -12 and -7 marked. Starting at -12, follow an arrow pointing to the right labelled +10. Then there is an arrow labelled b pointing to the left, which ends at -7 on the number line.]() What is the value of \( b \) ?",D,\( -6 \),0,B,\( -5 \),32,Number,42,Negative Numbers,211,Adding and Subtracting Negative Numbers,1824.0
19_A,19,1623,Subtract algebraic fractions where the denominators are single terms and are not multiples of each other,1078,Adding and Subtracting Algebraic Fractions,"Express the following as a single fraction, writing your answer as simply as possible: \( \frac{1}{s}-\frac{t}{3} \)",A,\( \frac{1-t}{3 s} \),0,C,\( \frac{3-s t}{3 s} \),49,Algebra,255,Algebraic Fractions,1078,Adding and Subtracting Algebraic Fractions,1916.0
19_B,19,1623,Subtract algebraic fractions where the denominators are single terms and are not multiples of each other,1078,Adding and Subtracting Algebraic Fractions,"Express the following as a single fraction, writing your answer as simply as possible: \( \frac{1}{s}-\frac{t}{3} \)",B,\( \frac{s-3 t}{3 s} \),0,C,\( \frac{3-s t}{3 s} \),49,Algebra,255,Algebraic Fractions,1078,Adding and Subtracting Algebraic Fractions,2147.0
19_D,19,1623,Subtract algebraic fractions where the denominators are single terms and are not multiples of each other,1078,Adding and Subtracting Algebraic Fractions,"Express the following as a single fraction, writing your answer as simply as possible: \( \frac{1}{s}-\frac{t}{3} \)",D,\( \frac{1-t}{s-3} \),0,C,\( \frac{3-s t}{3 s} \),49,Algebra,255,Algebraic Fractions,1078,Adding and Subtracting Algebraic Fractions,907.0
20_D,20,2306,"Given the volume of a cuboid, work out missing information",189,Volume of Prisms,"The volume of this cuboid is \( 30 \mathrm{~cm}^{3} \)

What length should replace the star? ![A cuboid, depth 2cm and height 3cm. The width is labelled with a star.]()",D,\( 25 \mathrm{~cm} \),0,B,\( 5 \mathrm{~cm} \),71,Geometry and Measure,100,Volume and Surface Area,189,Volume of Prisms,1984.0
21_A,21,1434,Factorise a quadratic expression in the form ax² + bx + c where a is prime,53,Factorising into a Double Bracket,"Step 1: Factorise the following expression

\(
3 x^{2}+5 x+2
\)",A,\( (3 x+2)(3 x+1) \),0,B,\( (3 x+2)(x+1) \),49,Algebra,153,Factorising,53,Factorising into a Double Bracket,2240.0
22_B,22,69,"Given the solution to one problem, deduce the answer to a related problem using the same operation",203,Mental Addition and Subtraction,"Tom and Katie are discussing related calculations
Tom says if you know that \( 3748+426=4174 \), then \( 3748+427 \) must equal \( \mathbf{4 1 7 5} \)

Katie says if you know that \( 3748-426=3322 \), then \( 3748 \) - \( 427 \) must equal \( \mathbf{3 3 2 3} \)
Who is correct?",B,Only Katie,0,A,Only Tom,32,Number,144,Basic Arithmetic,203,Mental Addition and Subtraction,1408.0
22_C,22,69,"Given the solution to one problem, deduce the answer to a related problem using the same operation",203,Mental Addition and Subtraction,"Tom and Katie are discussing related calculations
Tom says if you know that \( 3748+426=4174 \), then \( 3748+427 \) must equal \( \mathbf{4 1 7 5} \)

Katie says if you know that \( 3748-426=3322 \), then \( 3748 \) - \( 427 \) must equal \( \mathbf{3 3 2 3} \)
Who is correct?",C,Both Tom and Katie,0,A,Only Tom,32,Number,144,Basic Arithmetic,203,Mental Addition and Subtraction,2408.0
23_B,23,2742,Interpret sloping linear sections of a displacement-time graph,58,Real Life Graphs,"This graph shows how far Fido the dog is from his home.
What might the negative-sloping section represent? ![A graph with time (secs) on the horizontal axis and distance (m) on the vertical axis. The graph starts at the origin, travels in a straight line up and right, travels horizontally, then travels in a straight line down and right back to the x-axis. ]()",B,Fido has fallen asleep,0,A,Fido is walking home,49,Algebra,158,Other Graphs,58,Real Life Graphs,2492.0
23_C,23,2742,Interpret sloping linear sections of a displacement-time graph,58,Real Life Graphs,"This graph shows how far Fido the dog is from his home.
What might the negative-sloping section represent? ![A graph with time (secs) on the horizontal axis and distance (m) on the vertical axis. The graph starts at the origin, travels in a straight line up and right, travels horizontally, then travels in a straight line down and right back to the x-axis. ]()",C,Fido is accelerating,0,A,Fido is walking home,49,Algebra,158,Other Graphs,58,Real Life Graphs,2032.0
23_D,23,2742,Interpret sloping linear sections of a displacement-time graph,58,Real Life Graphs,"This graph shows how far Fido the dog is from his home.
What might the negative-sloping section represent? ![A graph with time (secs) on the horizontal axis and distance (m) on the vertical axis. The graph starts at the origin, travels in a straight line up and right, travels horizontally, then travels in a straight line down and right back to the x-axis. ]()",D,Fido is walking away from home,0,A,Fido is walking home,49,Algebra,158,Other Graphs,58,Real Life Graphs,2437.0
24_C,24,3229,Solve missing number mental multiplication questions,204,Mental Multiplication and Division,"What should replace the star?
\[
\bigstar \times 4=108
\]",C,\( 432 \),0,B,\( 27 \),32,Number,144,Basic Arithmetic,204,Mental Multiplication and Division,2271.0
24_D,24,3229,Solve missing number mental multiplication questions,204,Mental Multiplication and Division,"What should replace the star?
\[
\bigstar \times 4=108
\]",D,\( 104 \),0,B,\( 27 \),32,Number,144,Basic Arithmetic,204,Mental Multiplication and Division,1319.0
25_B,25,1872,Calculate speed where distance and time are in the appropriate units,67,Substitution into Formula,"The formula for speed is
\(
\text { Speed }=\frac{\text { Distance }}{\text { Time }}
\)
A snail travels \( 4 \mathrm{~m} \) in \( 10 \) hours. What was its speed?",B,\( 40 \) metres per hour,0,A,\( 0.4 \) metres per hour,49,Algebra,156,Formula,67,Substitution into Formula,509.0
25_C,25,1872,Calculate speed where distance and time are in the appropriate units,67,Substitution into Formula,"The formula for speed is
\(
\text { Speed }=\frac{\text { Distance }}{\text { Time }}
\)
A snail travels \( 4 \mathrm{~m} \) in \( 10 \) hours. What was its speed?",C,\( 2.5 \) metres per hour,0,A,\( 0.4 \) metres per hour,49,Algebra,156,Formula,67,Substitution into Formula,2359.0
26_B,26,1576,"Given a sketch of a circle with centre at the origin, write its equation in the form x² + y² = r²",159,Equation of a Circle,"What is the equation of this circle? ![A set of axes with a circle drawn. The circle goes through the points (4,0), (0, -4), (-4,0) and (0,4). ]()",B,\( x^{2}+y^{2}=\sqrt{4} \),0,A,\( x^{2}+y^{2}=16 \),49,Algebra,158,Other Graphs,159,Equation of a Circle,2474.0
26_C,26,1576,"Given a sketch of a circle with centre at the origin, write its equation in the form x² + y² = r²",159,Equation of a Circle,"What is the equation of this circle? ![A set of axes with a circle drawn. The circle goes through the points (4,0), (0, -4), (-4,0) and (0,4). ]()",C,\( x^{2}+y^{2}=8 \),0,A,\( x^{2}+y^{2}=16 \),49,Algebra,158,Other Graphs,159,Equation of a Circle,2316.0
26_D,26,1576,"Given a sketch of a circle with centre at the origin, write its equation in the form x² + y² = r²",159,Equation of a Circle,"What is the equation of this circle? ![A set of axes with a circle drawn. The circle goes through the points (4,0), (0, -4), (-4,0) and (0,4). ]()",D,\( x^{2}+y^{2}=4 \),0,A,\( x^{2}+y^{2}=16 \),49,Algebra,158,Other Graphs,159,Equation of a Circle,1944.0
27_B,27,1527,Substitute negative integer values into expressions involving no powers or roots,67,Substitution into Formula,If \( d=-2 \) what is the value of \( 10-2 d \) ?,B,\( 6 \),0,C,\( 14 \),49,Algebra,156,Formula,67,Substitution into Formula,1597.0
28_A,28,10,Count backwards in steps of of something other than one,200,Counting,"George is counting backwards in steps of \( 5 \).
He starts at the number \( 19,103 \) what is the next number he will say?",A,"\( 19,102 \)",0,C,"\( 19,098 \)",32,Number,144,Basic Arithmetic,200,Counting,878.0
28_B,28,10,Count backwards in steps of of something other than one,200,Counting,"George is counting backwards in steps of \( 5 \).
He starts at the number \( 19,103 \) what is the next number he will say?",B,"\( 19,099 \)",0,C,"\( 19,098 \)",32,Number,144,Basic Arithmetic,200,Counting,1824.0
29_A,29,1045,Solve linear inequalities in one variable where the unknown appears on boths sides of the equation,166,Solving Linear Inequalities,"Solve
\[
2 n+3 \leq 3 n-7
\]",A,\( 2 \leq n \),0,B,\( 10 \leq n \),49,Algebra,59,Inequalities,166,Solving Linear Inequalities,1214.0
29_C,29,1045,Solve linear inequalities in one variable where the unknown appears on boths sides of the equation,166,Solving Linear Inequalities,"Solve
\[
2 n+3 \leq 3 n-7
\]",C,\( n \leq 10 \),0,B,\( 10 \leq n \),49,Algebra,59,Inequalities,166,Solving Linear Inequalities,811.0
29_D,29,1045,Solve linear inequalities in one variable where the unknown appears on boths sides of the equation,166,Solving Linear Inequalities,"Solve
\[
2 n+3 \leq 3 n-7
\]",D,\( -4 \leq n \),0,B,\( 10 \leq n \),49,Algebra,59,Inequalities,166,Solving Linear Inequalities,1214.0
30_C,30,3515,Determine the function of a single function machine used to create an algebraic expression,649,Function Machines,"Tom and Katie are discussing this function machine ![A function machine with an input of m+2, no function labelled and an output of 3m+2]() Tom says the function could be \( +2 m \)
Katie says the function could be \( \times 3 \)
Who do you agree with?",C,Both Tom and Katie,0,A,"Only
Tom",49,Algebra,154,Solving Equations,649,Function Machines,220.0
31_B,31,2028,Convert between cm and m,195,Length Units,\[450 \mathrm{~cm}=\] \[\square \mathrm{~m}\] ,B,\( 45 \),0,A,\( 4.5 \),71,Geometry and Measure,98,Units of Measurement,195,Length Units,704.0
31_C,31,2028,Convert between cm and m,195,Length Units,\[450 \mathrm{~cm}=\] \[\square \mathrm{~m}\] ,C,\( 5 \),0,A,\( 4.5 \),71,Geometry and Measure,98,Units of Measurement,195,Length Units,1272.0
31_D,31,2028,Convert between cm and m,195,Length Units,\[450 \mathrm{~cm}=\] \[\square \mathrm{~m}\] ,D,\( 45000 \),0,A,\( 4.5 \),71,Geometry and Measure,98,Units of Measurement,195,Length Units,1651.0
32_A,32,1484,"Solve linear equations with the variable appearing on both sides, involving positive fractions",64,Linear Equations,"Which of the following is a correct first step to solve this equation:
\(\frac{2 r-3}{5}=2+r\)",A,\( \frac{2 r}{5}=5+r \),0,D,\( 2 r-3=10+5 r \),49,Algebra,154,Solving Equations,64,Linear Equations,1566.0
32_B,32,1484,"Solve linear equations with the variable appearing on both sides, involving positive fractions",64,Linear Equations,"Which of the following is a correct first step to solve this equation:
\(\frac{2 r-3}{5}=2+r\)",B,\( 10 r-15=10+5 r \),0,D,\( 2 r-3=10+5 r \),49,Algebra,154,Solving Equations,64,Linear Equations,98.0
32_C,32,1484,"Solve linear equations with the variable appearing on both sides, involving positive fractions",64,Linear Equations,"Which of the following is a correct first step to solve this equation:
\(\frac{2 r-3}{5}=2+r\)",C,\( 2 r-3=10+r \),0,D,\( 2 r-3=10+5 r \),49,Algebra,154,Solving Equations,64,Linear Equations,347.0
